review;summary
Bangkok to Taipei. I fail to understand why this flight and the return leg arrived at and departed from Terminal 2. The ticket specifies Terminal 1, Immigration and baggage delivery are at Terminal 1 and the return check-in is at Terminal 1. This is not the first time this has happened on a CI flight. So why does CI not have proper facilities in Terminal 2 or mark the ticket information as Terminal 2? As far as I am aware, on arrival at TPE there was no announcement on the aircraft and no printed announcement on the video monitors. Passengers were therefore left with a weakly written and seemingly unimportant sign on exiting the Gate ramp. But a China Airlines attendant stood right in front and in the middle of that sign rendering it impossible to read. And her main job seemed to be to direct passengers en route to a soon departing Fukuoka flight since the Bangkok flight had arrived late. The only sign exiting passengers can easily see is the bright illuminated sign above stating that for Immigration passengers should turn right. That, though, is for Terminal 2 Immigration and baggage claim. The handwritten sign that should be in very large thick clear lettering easily visible to all disembarking passengers pointed out that those going to Terminal 1 should actually turn left and then walk a very long way. A staff member giving instructions in Chinese is of little use to those not conversant in the language! Having been caught out by this once before and wasted almost an hour, after this flight I stopped and took time to check the sign carefully. This unthought-through action apart, the flight was smooth and the meal very tasty. My only other gripe about China Airlines is the headphones for the IFE. It makes available the ancient circular ones. I accept these fit nicely into the ears of a majority of passengers. But not all ears are the same and they just don’t fit mine at all. So even though this, with a weather delay, was only a 4-hour flight, watching anything on the IFE was out of the question.;In a Bangkok to Taipei flight, the ticket mentioned Terminal 1 but actually the arrival and departure was at terminal 2. passengers were not guided properly. In general the flight was comfy and the meal was delicious. The headphones provided were not a good fit.
✅ Trip Verified |  This is first time I use China Airlines, also this is the last time. I never use again and will recommend other people don’t use this China Airlines.  This aircraft is small and old. The F&B is not good, very bad. The staff is not helpful. They don’t support the passengers. I needed to change the middle seat to aisle seat, but they ask me for charging money.  I didn’t request change to another higher class seat, just same economy. When I get aboard, I saw 4 empty seat around me. ;The experience was regretable. The plane was old, meals were not good amd, the staff was unhelpful. They charged money for changing the seat even in the same economy class.
✅ Trip Verified |  Los Angeles to Denpasar via Taipei. Check-in at LAX was smooth. They gave us a transfer sleeve to store boarding passes for later segment, which was a nice touch. We had a remote gate far away and had to be shuttled by bus. That experience wasn't very pleasant as we had to wait inside the bus for a very long time. Despite having reservation for four seats (traveling as a family), there was no available overhead storage. All four of us had requested special meals, but the flight attendants started serving us regular meal. It was only after we showed them our boarding passes that they served our special meals. The overall ambiance, seating comfort, and IFE were excellent. Both B777-300ER and A330-300 were tastefully decorated. The service between Taipei and Bali segment was far superior to what we experience between LA and Taipei. The service on our final segment from TPE to LAX fell below the mark. The flight attendants serving us in economy didn't smile and were quite rude while interacting with us. So, while friendly service was absent in TPE-LAX segment, the WiFi worked well on B777-300ER. Overall, China Airlines offered an inconsistent experience where the positives outweighed the negatives, so we will still fly with them again.;In a journey from Los Angeles to Denpasar via Taipei, the experience was varying, sometimes good and sometimes not so good. Check-in was smooth, flight environment, comfort, and entertainment were superior. The return segment experience was not pleasing.
✅ Trip Verified |  Taipei to Sanya. Our plane was late getting into Taipei from Los Angeles and we had just enough time to disembark and walk to the gate of our connecting flight to be the last persons to board. I told my wife that I was sure our luggage wasn’t going to make the connection. I sat down at my window seat and watched the last of the luggage being loaded but did not see ours. The cabin door closed and I expected us to leave but we didn’t. I could see the baggage handlers impatiently waiting for something. Alas, 10 minutes later a buggy showed up with our luggage and was quickly loaded and we were then on our way. Our flight ended up late and although I felt a little guilty we really appreciated our luggage arriving with us. The food we just ok. The staff were friendly but busy.;The trip from Taipei to Sanya was occupied with late landing into Taipei making it difficult to get the connecting flight. The luggage arrived finally, the meals were good and the customer service was fine.
✅ Trip Verified | Taipei to Vienna. I find the service in Business Class worth the money. The friendliness and readiness to serve you is very good. The seat is one of the most comfortable seats in business class. The food, especially the breakfast, is very good and tasty, champagne and wine was excellent as well. IFE offers you a large screen and is very responsive. The variety to choose from was also more than enough. ;Travelling from Taipei to Vienna in business class was a great experience. The seat comfort, food, and entertainment were excellent.
"✅ Trip Verified |  New York to Taipei. This is the worst flight I've ever been on in my life.  I got a discount on this flight, and the stewardesses were nice. Everything else about was a nightmare. I called a week in advance and had to pay for the desired seat I wanted for $30 extra because this airline doesn't let you choose your seat. But they ended up giving me the wrong seat anyway, rather than 40E, which is larger. They could not fix the issue on the plane, so I was stuck with the tiny seat and wasted my $30. Some seats can lift the armrest, but the one I had to go to could not and was quite uncomfortable. I then learned that this was the first flight I've been on that doesn't offer free WiFi. I had to pay $50 (specifically $43.90) to use their very bad WiFi service. The ""entertainment"" tablet doesn't work, even if you rub it or clean it, and there's nothing on there you've ever heard of, anyway. The food looked inedible, but that's okay because I opted not to eat anyway. It just sucks you have to pay for water, since TSA obviously doesn't let you bring any liquids on. Guess I should've brought a bigger water bottle.  Sixteen hours of this, and they don't even offer you WiFi or working power outlets (though I'm surprised we even had those). This airline just seems cheap, even if their actual prices aren't that cheap. ";The flight from New York to Taipei was the worst. Only that the flight offered a discount price and the hostess were positives. The rest of the experiences were bad.
✅ Trip Verified |  Tokyo to Taipei. Priority check-in at Narita was quick and easy. I was able to change my seat at the counter. Boeing 777 has a beautifully designed cabin and offers lots of choices on the inflight entertainment system. The cabin manager on this flight was  kind and helpful. I was welcomed on board and addressed by name. The vegetarian special meal was of a good quality. There was a selection of drinks available, I tried Kumquat Lemonade and Formosa green tea. On arrival, my luggage was first off the belt as it was marked Priority. I am a SkyTeam Elite Plus member and I never experienced such attention to detail and personal service.;From Tokyo to Taipei, the check-in was smooth, and the plane was beautiful, and lots of choices for in-flight entertainment. The staff was welcoming and, the meals and beverages were great. The personal service offered was very good.
Not Verified |  My wife and I flew to Brisbane from Auckland and return. A350  was roomy and comfortable in Economy Class. Crew were friendly. IFE with a good selection of movies, TV and music. Crew on return flight indifferent and sour. Meals were awful - spiced chicken and rice - worse than a microwavable meal from the supermarket. In summary crew need to lift their game. English is often poor and engagement nowhere near Singapore Airlines.;The flight from Auckland to Brisbane was roomy and comfy, with a friendly cabin crew and a good in-flight entertainment. While the return flight was totally unpleasent with bland meals.
"✅ Trip Verified |  Bangkok to Honolulu via Taipei. I fly regularly between Honolulu and Bangkok, but I've never flown on China Airlines. However, it emerged as the least-expensive option for a recent trip and since the price and flight schedules were good I decided to give the airline a try, despite some hesitation. I was mostly pleasantly surprised by the airline: Though the staff seem to be unable to smile and service both on the ground and in the air is bare-bones, the A350 is a fabulous aircraft, the seats were mostly comfortable, and the entertainment system was alright. There were a few negative experiences: For instance, not one single flight arrived or departed on time; The airline's pillows and blankets are pitiful, and the catering is mostly inedible; China Airlines has the serving style favored by many Asian airlines, wherein a few drinks choices are offered on top of the meal service trolleys, and if a passenger requests anything not on top of the trolley, the flight attendants tend to lie and say they ran out. It's very, very tedious to constantly have to ask and remind them for something as simple as a can of Coke Zero, and for it to be brought with a scowl. I arrived at Taipei from Honolulu in the middle Typhoon Mitag; My onward flight to Bangkok that evening was cancelled and I was expecting a chaotic, uncomfortable evening in Taipei's airport. Much to my surprise, the situation had been rather expertly arranged before my arrival: An agent met our flight and informed all of us going to Bangkok that we had been rescheduled for a flight the following morning and that accommodation had been arranged for us for that evening. I was impressed by the efficiency of China Airlines and the Taipei airport authorities, and I commend them for their handling of a difficult situation. In all, I recommend China Airlines because of the very low cost paid for this set of flights. While China Airlines certainly pales in comparison to ANA, JAL, EVA Air, Thai Airways and Singapore Airlines, it is at least as good as Korean Air.";From Bangkok to Honolulu via Taipei, the price was reasonable but the aircraft was fabulous with spacious seats and good entertainment. There were negatives including the delays in flight arrival and departure, the blankets and pillows were pathetic, food choices were limited. But to a pleasent surprise, for the cancelled connecting flight, the flight was rescheduled and the accomodation was arranged.
✅ Trip Verified |  Taipei to Vancouver. The onboard experience was fine. The problem with this airline is the ground customer service and code-share system. I have no idea why, but China Airlines would not allow me to select my seats in advance or even change my seats at check-in. It seems that some tickets simply do not have an online check-in or seat selection option. You are forced to get to the check-in desk when it opens (about 3hrs before a flight) and try to get them to change the seat they assign to you. This creates a mad rush at check-in, and a strong likely-hood of not sitting with your companion and getting the middle seat. This is exactly what happened to me in Taipei. I flew in on a code-share flight with Vietnam Airlines. There was no online check-in option for the China Airlines portion of the flight. At check-in in Saigon, China Airlines automatically assigned my wife and me to two middle seats in different rows (not together). I asked the Vietnam Airlines agent if we could change the seat assignments, but they were unable to access seating for China Airlines. When I got to Taipei for the connection, I went to the China Airlines office to change the seats, and they said all seats were assigned and the flight was full, but that the boarding counter could probably do something. I went to the boarding gate, and they said they would make a note of this. I asked what that meant, and they said they would tell the stewardess. I asked what that meant, and they said the stewardess would look for spare seats. I asked why they couldn't see if there were any spare seats, and the boarding gate said they could, and there were none, 'but maybe someone would be too sick to fly'. There was no attempt to look for people that were willing to move from one seat to another to accommodate my wife and I sitting together. No effort what so ever, they just wanted to tell me they took my name. The boarding agents said it was a common problem that people could not check-in online or select their seats in advance. The boarding agents even laughed as I walked away. The problem is not just the boarding agents, its China Airlines inability to allow online check-in or seat selection on booking flights. I'm not sure why they don't have a system that would do this? Regardless, I will not fly with this airline again.;For China Airlines, flying from Taipei to Vancouver, the onboard experience was positive while the ground customer service was problematic and uncooperative in adjusting our seats. I will not fly with China Airlines in future.
✅ Trip Verified |  Vienna to Auckland via Taipei and Brisbane. I am very happy with the experience . I flew in Economy Class, at the height of 1,83m / 6ft I had enough legroom. Vienna to Taipei I was offered to change my original seat to a seat in a row which was completely free (I did manage to sleep a couple of hours on this flight as I could kind of lie down during the flight.) The remaining two flights were fully booked and if 3 men sit next to each other, there is not too much space in Economy class but it did not feel uncomfortable. The cabin crew was very friendly and the service was very good. I enjoyed the meals and the in-flight entertainment. The A350-900 is a great and modern airplane I can definitely recommend.;the flight offered a pleasant experience with the economy class having enough legroom, a friendly staff, good service, enjoyable meals and entertainment. This is an airline to be recommended.
"Not Verified |  Los Angeles to Jakarta via Taipei. Will never fly with China airlines again, flight attendants are rude no common courtesy, get into your personal space without warning no ""excuse me"" no nothing! Felt like a harrasment because I purchased a premium economy seats for my infant and have to argue back and forth about it because they didn't believe my 1,5 year old is not 2 years old, I bought 3 premium economy seats for my 2 kids and I but they only gave me 2 meals and not counting my other kid! Their excuse is they don't have infant food even tho I told them my 1,5 year old can eat anything, asking me to show my kid passport all the time because they thought my 1,5 year old is too big for her age. Told me to deflate my flytot even tho other passengers in economy class are allowed to using theirs, even after I deflated it they keep coming back and woken me up because they thought I was still using it! I have to literally show them I didn't use the flytot anymore!  Again I will never fly with China airlines ever again. The only reason I gave 2 stars for cabin service and not 1 star is because one of the flight attendant actually felt bad for keep asking me about my child. But out of 4 flights we've taken only 1 was bearable.";While travelling from Los Angeles to Jakarta, we had a terrible experience with the China airlines. The flight attendents were not courteous and behaved rudely. I will not reiterate my trip with China Airlines in future.
✅ Trip Verified |  Taipei to Beijing return. The inbound flight was delayed over one hour. The customer service in Beijing offered passengers snacks and soft drinks. Overall, the service was very nice. Seats are comfortable. I enjoyed both flights.;On returning from Taipei to Bejing, the flight was delayed but the seating was comfortable and the service was good.
✅ Trip Verified | We flew Brisbane to London Gatwick via Taipei and return with China Airlines. We weren’t delayed on any of the flights there or back. Blankets, pillows were waiting for us when we boarded. On the longer legs (Taipei - Gatwick & Gatwick - Taipei) amenity kits were provided (we were in economy!) so that was a nice little extra. The seats were not comfortable at all which is a shame and the food was a little disappointing. The cabin service was alright. Would recommend for the price. They were the cheapest tickets at the time of booking.;The flights offered a fair price and were on time, service was good, amenity kits were supplied even in the economy class. Seat comfort and food were unreasonable.
✅ Trip Verified |  China Airlines has the worst customer service and support. We booked a round trip from Singapore to Vancouver last week. Our flight got cancelled due to a typhoon in Taipei and we got to know of it just a day before we were suppose to fly. There was no way to reach out to the airlines - no helpline 24*7. It was a struggle to contact the airline and we wrote on their Facebook page on which they responded. They asked to wait and asked to visit the airport next day morning. Got there early morning and they blatantly said they can’t do anything! Flight is cancelled and no replacement to fly. We were told there is one flight which was on very short notice and we coudnt have possibly taken it! With no way out we booked another flight to do our trip paying a lot more extra. We reached Vancouver and were continuously getting messages from China Airlines for our return flight which made us comfortable that our outgoing flight is on! To our horror, we were stopped from boarding the flight! And then came in the China Airlines supervisor who broke some news to us which none bothered to convey till then by the airlines. First he said if you board the flight you can’t get refund for the incoming flight which we technically did use. Yes, we couldn't use because you cancelled the flight and did not give any backup flight to the helpless customer. None of the customer service people at the airport told us about the refund and cancellation in such scenarios. Zero communication. The supervisor blatantly asked to decide whether to board and forget the refund for one way or buy another ticket and take a full refund. We were aghast. This isn’t just a monetary situation but a big mental pressure for someone travelling with family. The airline showed no sympathy towards the child too. To convey the same we went to one of the representatives and they kinda looked lost had no idea and then directed us to someone else, laughing at out back. This is ridiculous and shows the airline lacks basic human courtesy! A little later the supervisor came and said That we can't board the flight altogether! Since the ticket stands null and void! None from the airlines conveyed us till now and instead we were getting all flight updates on messages. Is it a technical problem that your system shows customer wrong information and you the right information? We coudnt sleep looking for another pocket friendly Flight to go Home and hotel to stay. Who’s to be blamed? We may forget the financial loss but the mental agony China Airlines has caused is beyond words.;Our flight from Singapore to Vancouver got cancelled due a storm. Customer service and support were awful. We paid more and booked another flight to continue with our trip. we got messages from Chine airline for the operating return flight but shockingly we were informed that a new ticket was needed to board the return flight and only then the refund could be possible. The airline caused financial pressure as well as mental suffering.
✅ Trip Verified | Frankfurt to Brisbane via Taipei. Extremely good experience! Firstly terrific value for money as this similar trip with Turkish Airlines or Singapore Airlines was going to cost over double the price of China Airlines! Ground staff were helpful and efficient, lounge in Taipei was great and cabin crew service was friendly yet not overbearing. The food on all sectors was terrific with plenty of variety in the meals across all 4 sectors - I always chose to eat rather than sleep since I didn't want to miss the meal! Seats are very comfortable and happily got all the sleep I could. Both the B777 and A350 were enjoyable although the A350 is the newer and better product. I was worried about my bags as I also had a flight before Frankfurt but both bags happily made it through all 6 flights without being lost or damaged. Only negatives are that the entertainment system is a bit limited with about 50% of the movies in English with few of them particularly recent and the selection is poorly organised, especially compared to someone like Emirates, but in Business Class it was easy to sleep rather than watch a movie - this would be a bigger problem in Economy where it's harder to get good sleep. Also their flight schedule can lead to some long transit layovers in Taipei and they make too many announcements in the lounge, which was especially unnecessary when a small delay of 20 minutes on my flight was communicated to me via text, email and a lounge attendant even came and found me personally to let me know! So many announcements affected the atmosphere a bit and made it hard to rest. Definitely recommended with a terrific value for money in Business Class and a great product and service.;Flying in Business class with China airlines from Frankfurt to Bribane was an awesome experience especilly considering the price. Food quality, service, seats were all fine. In-flight entertainment was somewhat limited. Overall, a best and worth value for money experience for the business class.
✅ Trip Verified |  I booked round-trip flight from LAX to Bangkok via Taipei for January 2020. Since the time I booked the flight 5 months ago, the flight times were changed at least 5 times. The latest arrival time is much later than the original arrival time which created a problem for my plans. I cancelled the fight but was charged $200 cancellation fee ($100 for each person in the booking). Since my cancellation was due to China Airline’s change of schedule, the $200 cancellation fee should be waived. But China Airline refused to refund. ;For a jouney from Los Angeles to Bangkok, the flight timing was changed five times in about five months. Finally, I had to cancel the flight and the cancellation fee was not waived.
"✅ Trip Verified |  Denpasar to Rome via Taipei. The first leg on our return journey (DPS-TPE) was by an old 747- 400: the aircraft was pretty rundown, with a bad smell and very narrow seats; the old IFE didn't work properly and FA tried to reboot the system multiple times but my personal screen didn't work properly. Food average. The second leg (TPE-FCO) was a different story: the A350 is a great plane : plenty of space, great IFE and I could stretch my legs and sleep almost the whole flight, wonderful mood lights and smiling FA made this 13 hours journey very pleasant.";For Denpasar to Rome via Taipei, both legs have different experience stories. For the first one, the aircraft was old and uncomfortable while the food was mediocre. For the second leg, the journey was wonderful.
✅ Trip Verified |  Melbourne to Bangkok via Taipei return. All 4 flights  were nothing short of exemplary, operated by an A350, which is much quieter and noticeably reduces jet lag. The crew on all my flights were friendly, professional and very safety conscious. Meal service was prompt and with a smile, and the crew were polite and friendly. I ordered several drinks and requested a toothbrush and an adapter and all were delivered quickly. They passed out hot towels for economy class passengers which is a much-appreciated gesture. During the overnight flight staff often passed through the cabin with water and juice, and kept the toilets clean. My flight back to Melbourne was delayed by 8 hours and we were provided accommodation at the Novotel near Taipei airport and they organised a shuttle bus to take us back to the airport in the morning, I found the ground staff at Taipei airport to be friendly and customer focused. The onboard entertainment system is easy to navigate and had many new releases and TV shows to choose from. The only aspect that could be improved is their food options, I found most of my meals to be lacking flavor, however they did offer an ice cream bar and a bread roll with all meals. Staff offer a selection of juice soft drinks, wine and coffee/Chinese tea with the meal service. I would not hesitate to fly with them again, in fact I found their service to be superior to Cathay Pacific and Malaysia Airlines and would recommend China Airlines without hesitation.;My experience of flying with China airlines from Malbourne to Bangkok came upon a point that service quality of China airlines is better relative to Cathay Pacific and Malaysia airlines. Aircraft was good, food and beverage service was swift. Due to flight delay, airlines provided accomodation at Novotel. I recommend China airlines.
"✅ Trip Verified |  Taipei to Vancouver. Relatively new A350 with comfortable seats and nice 11"" IFE screen with USB and power outlet. The back seat design lacks enough forethought in not making available slots for tablets and mobile phones and a hook for small items to hang. Having said that there is good legroom space. The entertainment choice is still limited. The flight crew service was better than the ICN-TPE leg but they lack the courteousness that other Asian airlines are known for. One example, one flight attendant told a passenger to bring the seat back upright for a meal. She was quite rude and abrupt. For a Chinese her manner would have been viewed as a typical request, but as a flight attendant serving passengers of various nationalities, that would not be acceptable. She looked as if she was one of the more senior member of the flight crew. The food was still below average and the flight attendants were once again rushing through the meal service offering coffee and tea even though passengers had not finished the main meal. Overall, they lack the expected attention to detail and professionalism to compete effectively with other airlines. The excellent hardware, ie. the plane, is let down by the subpar flight crew service.";The fabolous aircraft experience was let down by inferior service quality of the cabin crew. The entertainment options were limited and the food was substandard. The crew lacked the courtesy for which Asian airlines are well-known.
"✅ Trip Verified |  Seoul Incheon to Taipei. The flight crew lacks the polish and professionalism of some airlines. The meal service was rushed with coffee and tea being offered even before most could finish the meal and in a rushed manner that if you were not paying attention you would have missed them. The IFE is an old outdated 6.5"" touch screen that is due for an update with relatively limited choice of entertainment. The pillows and blankets were not separately packaged raising questions of possible sanitation. The food quality is below average. One thing that is going for China Airlines is their fare which tends to be cheaper than others.";For China airlines, the flight fares are cheap but the cabin crew do not behave professionally.
✅ Trip Verified |  Manila to Vancouver via Taipei. My overall experience is okay. Needs further improvement on the audio. Also, the food should be improved, aesthetically and by flavor. Our taste buds aren’t much functional when in high altitude, so it is a must that aroma and flavor of the food compliments each other, or else, all of the food will just taste all pretty much the same. I had a bad experience in my baggage when the ground steward in Manila told me that my baggage will go straight to Saskatoon (my final destination), and not to be picked up in Vancouver. Since I was a new flyer, I didn’t know much of this. I even clarified (twice) with the steward if I will be picking it up in Saskatoon or Vancouver, and he kept on saying that it’s gonna be in Saskatoon. But when I arrived in Saskatoon, my baggage wasn’t there. So much inconvenience on my part. They need to have well-trained and knowledgeable staff when it comes to these types of situation, or a mentor should be around in this case. With this, I don’t know if I will fly with China Airlines anymore.;Flying from Manila to Vancouver, the experience was mediocre. Food needs improvement and the staff should be knowledgeable enough. I had a bad experience with my luggage due to wrong information from the staff.
Not Verified |  Taipei to San Francisco. Overall experience is fine. The worst part is at the check-in counter they always ask you to show the credit card used for purchasing the ticket. When I purchased tickets for my kids and they travel alone, they almost got stranded at the airport and couldn’t get on the flight;the flight experience was good. The difficult part is the check-in, they require you to show the credit card. Incase, the children are traveling alone, it becomes a problem.
✅ Trip Verified |  Frankfurt to Hanoi via Taipei. Amazing cabin crew. They are professional, caring and nice. Updated in-flight entertainment programme. Food is fairly good. They serve ice-cream for lunch.;In the Frankfurt to Hanoi flight, the crew was the best, flight entertainment was up-to-date, and the meals were fair.
"✅ Trip Verified |  Melbourne to Osaka via Taipei, returning from Sapporo. Overall China Airlines offers a decent Business Class at a reasonable fare. Both check-in processes were efficient and friendly. The lounges in Melbourne, Taipei and Sapporo were comfortable without being luxurious - good spaces to relax, with pleasant food and drink options. On board, the seats turned into nice lie-flat beds, the main downside being a lack of storage space around the seats. The crews were hardworking, polite and generally friendly. Only soft drinks were offered as a welcome, but there was a reasonable wine and spirits list. My vegetarian meals were fine but not adventurous. No amenities kits were provided, and there were no toothbrushes/paste provided in the toilets -- a sign of some cutting of corners in this product. Three flights operated punctually, one was delayed 30 minutes due to ""ground handling issues"". Taipei is quite an easy transfer point, with good signage and friendly staff.";China airlines gave us a cool business class experience at a good price. The check-in was swift, lounges were comfy, nice food and drink choices. On-board facilities were fine instead no amenity kits were provided. The staff was also friendly.
✅ Trip Verified |  Brisbane to Taipei. Originally I was booked on EVA Air, but about a week before my flight in late June 2019 they went on strike with a number of flights cancelled and I was changed to this flight about a week before my departure. EVA operates an A330 with 2-2-2 in business class on this route but China Airlines operates an A350-900 with a 1-2-1 and what a stunning cabin this is probably the nicest business class cabin I have travelled. With a late departure around 2250 from Brisbane and an arrival into Taipei at 0545 the next morning with just under 9 hours in the air the quick meal service on departure was well organized and excellent quality which left a reasonable amount of time for some sleep before breakfast before arrival in Taipei. The seat on this plane is fantastic with plenty of storage a great screen and a very sturdy table that pulls out from under the screen and always have a little part exposed so is always a handy shelf at anytime. The finishes that they have used seem to be of a really high quality with my 16 month old plane looking like it was on its first flight. No pyjamas are provided but slippers and a nice amenity kit are. ;From Brisbane to Taipei, I had a wonderful business class experience with the China Airlines. The departure was a bit delayed but the seating and service was fantastic.
