review;title;rating;recommended;sentiment
"✅ Trip Verified | Air Canada left us with a horrendous ending to an otherwise amazing vacation. Flight out of Cancun at 2pm was cancelled last minute due to ""maintenance issues"". Got rebooked on a ""9pm"" flight that didn't end up departing until 10:45pm after waiting over an hour on the tarmac. The AC rep at Cancun also booked us on the late 9:45pm flight out of Toronto to Sault Ste. Marie stating ""there was no earlier flight"". We later found out that was a lie when 2 other friends booked the 2:10pm flight from Toronto to Sault Ste. Marie, after the lady told us there were no other flights. We then arrive in Toronto at 2am thinking there would be AC reps waiting for us to get hotel vouchers and meal vouchers, no one at any AC rep desks until 4am when we finally got hotel and meal vouchers. You only get 20 dollar meal vouchers for the entirety of the next day, when our flight wasn't until 9:45pm. Not to mention, you can only use them at the airport, where a coffee will run you roughly 10 dollars. They also had no idea where we had to go to catch the shuttle to our hotel. Fast forward to the next day, we spend hundreds of dollars on breakfast lunch and dinner, all uncompensated before finally arriving to the airport around 8pm for our 9:45pm flight. We walk into the airport just in time to receive an email from AC stating our flight has been cancelled for a 3rd time now due to ""crew shortages"" this time. Again, we get our hotel and meal vouchers from thr AC rep. They again tell us we will not be compensated for meals outside of the airport before giving us another measly 20 dollars in terrible overpriced airport food. We are booked on a 11:15am flight tomorrow now, but I'm sceptical it gets out due to AC incompetence. Update: flight was in fact delayed until 2:30pm. I advise anyone wanting a pleasurable flying experience to steer clear of this airline.";"""steer clear of this airline"" ";"
1
";no;0
✅ Trip Verified |  Air Canada in flight crew could have shown a bit of human decency but did not. We flew Victoria-Vancouver-Toronto-Miami. Victoria to Vancouver was delayed as was Vancouver to Toronto. This put us into Toronto an hour and a half late, cutting our connecting flight time to Miami in half (significant when you have to go through security and customs). We spoke to two attendants on the flight about this, both said they would check and neither of them got back to us. We were also seated at the back of the plane (Air Canada changed our seats at the last minute) so it took forever to just get off the plane, leaving us to run and scramble through the airport. Our plane was loading as we were at security. If flight attendants were decent (no extra work required) they could have asked passengers who did not have connections to remain seated while those that had tight connections left the plane. This would have given us an extra 15 to 20 minutes, and would have relieved the stress. We did make the plane just before the gates closed but only because passengers at customs let us through. No help from any flight personnel. Economy travellers are treated like cattle;"""Economy travellers are treated like cattle""";"
2
";no;0
✅ Trip Verified | Uncomfortable seat layout 10 abreast. Pitch and seat not suitable for long flights. Food is mediocre and cold. Flight delay and poor customer service was adding to painful experience.;"""painful experience""";"
2
";no;0
✅ Trip Verified |  Extremely rude staff. The air hostess attending us screamed at my autistic son for making her go aside as she was blocking his screen. He wasn't given any meals/food, we had booked the tickets with a fruit platter for my son. In a journey where as a parent I was super anxious about how my son would do, he was made to feel bad and not taken care of. The air hostess in question leaned over to talk to a passenger sitting beside us blocking my son's TV screen twice. And shouted at him twice when he tried to move her away. We were in the last seats of the middle row. There's aisles on either side, she could've gone to the other side and catered to that passenger or someone else coming down on that side could have assisted him. The staff was obsessed with having our seats upright.;"2Extremely rude staff""";"
2
";no;0
Not Verified |  I am a Super Elite 2 Million Miler with Aeroplan/Air Canada. Waiting for 2 hours only one of our 3 bags arrived. The AC baggage customer service employee at Pearson Terminal 1 confirmed, looking at the tracking system screen, our 2 bags were left in Montreal. According to his instructions I filed a report. Luckily, we waited for additional 15 minutes and the two bags arrived. Speaking to him again, he reconfirmed that the system is showing the bags were still in Montreal. He turned the screen to prove it to me, I could not see any proof that the bags were still in Montreal. Clearly, he did not know how to navigate the tracking system. We were lucky but there must be thousands of unlucky people left the airport. Air Canada and Pearson Airport need to improve the incompetency level of their customer reps to properly handle people's property.;"""only one of our 3 bags arrived""";"
2
";no;0
Not Verified |  Stunning incompetence and disregard for comfort, dignity and people's time. I have NEVER had an Air Canada flight that was anything less than painful. Between having to wait on the tarmac for more than an hour for both of my flights this trip, to them being unable to unload passengers at the end for unknown reasons, to our baggage not being made available for nearly an hour on the carousel. It is extremely difficult to be anything less than intensely frustrated. I will never fly air Canada again. Flight attendants were good, but other than that, this trip has been frustrating beyond reason.;"""intensely frustrated""";"
2
";no;0
Not Verified | We sat in seats 2D and 2F. From the check in at the Priority Counter to getting off the aircraft at West Palm Beach, were were exceptionally pleased with the service we received. We would like to mention specifically the wheel chair assistance for my wife and the flight attendant in our cabin. All of them were exceptional. Please pass along our comments to the Air Canada staff;"""exceptionally pleased with the service""";"
10
";yes;2
Not Verified |  I was booked on flight AC 1656 scheduled to depart for Tampa at 12.40 am and it delayed until 2 pm. Then it was canceled and they announced to adjust the passengers on AC 1658 leaving at 4.40 pm, which eventually delayed untill 5.15 and then it took off. Traveling with Air Canada is a nightmare and this is probably the worst airline in the world, deteriorating its standard every day. Being a national flag carrier it should have very high standards, but it is not. I will never ever fly with this airline.;"""Traveling with Air Canada is a nightmare""";"
1
";no;0
✅ Trip Verified |  Casablanca to Montreal. My pillow was wrapped in plastic, supposedly to be kept clean, but there was somebody's hair inside that plastic. Disgusting. Also, bread crumbs on trays.;"""bread crumbs on trays""";"
2
";no;0
✅ Trip Verified |  Disastrous delayed baggage policy, 4 days and still nothing, they confirmed that the bag arrived in the airport the day after me, but they still could not identify it Plus, call center for delayed bags keeps you waiting literally for hours, it's absolute insanity. Do yourself a favor and steer clear from this airline;"""Disastrous delayed baggage policy""";"
1
";no;0
✅ Trip Verified |  Flight delays for maintenance is horrible. Extending delays hour by hour. Even on a good day, flight getting delayed for no reason. Horrible food. After serving 4 rows, non-veg meal is over. Flight time is longer and price is sky rocket.;"""non-veg meal is over"" ";"
2
";no;0
Not Verified |  Coming back from Yellowknife made it to Toronto. Flight to the Soo was cancelled 3 times due to, according to Air Canada, no ground crew in the Soo. $20 voucher issued to each of us - about enough for a coke and bag of chips at airport prices. Luggage situation was ludicrous after having checked our bags then having to spend hours to retrieve them with each cancelation. Hotel room was offered for us (2 adult males) with one queen bed. Total chaos at the airport as no one could provide a straight answer to questions. Last time we'll ever fly Air Canada or route through Toronto airport;"""Last time we'll fly Air Canada"" ";"
1
";no;0
✅ Trip Verified |  Due to a ridiculous carry-on bag policy I was forced to check my carry-on for an additional $100 CAD. Fingers crossed all my luggage makes it to my final destination, but with this airline, you never know.;"""forced to check my carry-on""";"
3
";no;0
✅ Trip Verified |  My suitcase didn't make it. It's been almost 72 hours and it's not here yet. I'm having a horrible experience in trying to communicate with the airline. I try to call by phone or chat and I keep getting responses from robots that are useless and annoying and direct me around in circles. I left a message through some online system and they did not respond. On the phone I waited for 30 minutes and got disconnected, then 90 minutes and got disconnected. The communication with their robots is useless and frustrating and there's no way of reaching a human.;"""My suitcase didn't make it""";"
1
";no;0
Not Verified |  The flight was delayed by 8 hours at Copenhagen. Air Canada provided updated ETA for departure three times. After third time of further delaying the flight, they announced food voucher, which was 100DKK (about $19CAD). This amount was insufficient to buy a food from a restaurant at the airport. There was no other compensation by Air Canada to the passengers suffering the extremely uncomfortable stay at the gate lounge. Due to this delay and unclear communication, I missed a critical meeting at work (estimated arrival was at 2:45PM ET, and my meeting was at 4PM for client year end review) and it has severely impacted my work. My wife and children also got impacted due to the extreme stress they had to go through, with minimal support from the Air Canada staff. Technical issues may occur with any airline/ aur craft, however how are the passengers managed in such scenario is the key for a good/ reputable airlines, which unfortunately, Air Canada failed to do so.;"""delayed by 8 hours at Copenhagen""";"
1
";no;0
✅ Trip Verified |  Delayed an hour before boarding and an hour after boarding. My dog was required to be at the airport in her carrier at 2:30. It’s 7:30 and we still haven’t taken off. I also have a cat who is on board with me who has been her carrier since 2:30. Have a 5 hour flight and there’s no taking off in sight. Very very disappointing;"""Very very disappointing""";"
1
";no;0
✅ Trip Verified |  The most unorganized and inefficient airline. I usually travel with United however unfortunately sometimes tickets through United is operated by Air Canada, and every single time I’ve had an issue. No customer service, long check in lane, check in computers don’t work, flight always have delays and lost luggage is very common. This airline seriously needs to get it together or it is better to shutdown…;"""most unorganized and inefficient""";"
2
";no;0
✅ Trip Verified | Worst experience ever over the last month. Delayed Flights, lost luggage, staff who are very unhappy about the airline and not afraid to share it. In fact a pilot even shared his embarrassment over the PA on a flight from Toronto to Ottawa.;"""Delayed Flights, lost luggage""";"
1
";no;0
✅ Trip Verified | Air Canada is definitely the most terrible airline I've ever used. They canceled and delayed their flight so many times and do not even apologize for their fault. Especially employees in Vancouver airport is extremely irresponsible and awful. They don't do anything but just stand and tell customers to just make a phone call if we need some help. I'll never use this shameless airline ever.;"""extremely irresponsible and awful""";"
1
";no;0
✅ Trip Verified |  They are now playing ads throughout the cabin at the start of the flight. Disgusting. Complained to an attendant who stated I am entitled to my opinion. This is the slippery slope to paying a fee to remove adds or having sponsored flights.;"""playing ads throughout the cabin""";"
1
";no;0
✅ Trip Verified |  My baggage was delayed. I filled out the baggage delay form right at the airport. The Air Canada agent promised it to be delivered to my home address the next day. I can see in my status online as if my baggage was delivered, but it never did. I tried to reach their argent by phone and waited more than 3 hours on the line and no one replied.;"""waited more than 3 hours on the line""";"
1
";no;0
✅ Trip Verified |  My agent arranged flights with United Airlines and Air Canada for November 1, 2022. Twice my flight were cancelled. Neither time my flight was rescheduled, nor did the airlines notify me. On October 11, I called Air Canada to ask which gate I should arrive at. They told me that my flight had been cancelled on Sept. 12. Had I not contacted Air Canada about departure information, I would not have known. I spent hours with both airlines in the next two days. I was charged another $163 from Air Canada. I had to purchase new flights to Winnipeg. United told me I was due a refund of $26, and refused to give it to me. I informed both United and Air Canada that only I be allowed to make any further changes. They agreed. On October 31, my agent emailed me. She stated my entire, original $805 United/Air Canada charge was disputed by me. It was not. Once again, I had to call the airlines to confirm that her allegations were incorrect. Once again, much more wasted time and stress. Again, on October 31, less than 13 hours before my departure, my agent cancelled my flights with United and Air Canada. The airlines never informed me. They allowed my agent to cancel the flights that I made on October 11, despite their assurances that they would not be allowed to intervene. I spent hours again on the telephone hours before departure hoping that I would be allowed to depart. This new flight resulted in a three hour earlier departure, with an extra stop in Chicago. On November 1, I had to spend more of my vacation time trying to arrange another flight home. These airlines have caused me many, many hours of work, stress and extra expenses. This has been a pitiful experience for me. They have nearly sabotaged my entire $8000 trip to Churchill, Manitoba. I believe that I am eligible for compensation and refunds. ;"""nearly sabotaged my entire $8000 trip""";"
2
";no;0
✅ Trip Verified |  I will never use Air Canada again. From the one way ticket cost at the start of December for the Christmas holiday from Calgary to Toronto to Windsor of 2000$ CDN, to saying my flight was canceled only then turning around and offering me the exact same flight number departing at the exact same time, all the way to losing my luggage on the way home, and then the attendant incorrectly entering my information in the system so now I can't even check the status of that lost luggage because he spelled both my name and my phone number wrong. What an absolute joke.;"""I will never use Air Canada again""";"
1
";no;0
✅ Trip Verified |  Air Canada completely ruined my holiday. I flew from Zurich to Charlotte via Toronto. In Charlotte, my bag did not arrive. It finally was delivered three days later. Christmas ruined. I bought another bag and returned to Zurich via Toronto. This time, both bags did not arrive. One bag was delivered a day later and the other one, two days later is still missing. New Years plans ruined. This is only a fraction of the entirely miserable experience I’ve had going back for months since I first booked. Repeated flight changes and cancelations, a forced overnight stay in Toronto (nothing to due with weather) and constant re-booking of hotels and rental cars. Customer service is almost none existent. And often literally non existent. I don’t know what is going on with Air Canada but this is shocking. And somehow just very, very sad for all involved. Choose your airline very wisely.;"""completely ruined my holiday""";"
1
";no;0
✅ Trip Verified | Air Canada is out of control! The organization has lost complete control of its Labour. The airline staff, the baggage handlers, the ticket agents. In this past week, December 23rd I flew from Vancouver to Toronto. Mother Nature had wreaked weather havoc across the country, Delays were expected and very much understandable. Many flights were cancelled by all airlines across the country 21 + 22 December. When I arrived at YVR for my flight on December 22 I was pleasantly surprised had our slightly delayed flight was indeed going to go today, in fact, Air Canada had organized four 777 aircraft including mine, to consolidate many of the affected customers. All four of these aircraft were departing for Toronto within an hour. So, after further delays, (2 more hours on the tarmac) we took off for Toronto. We arrived on the runway at 11:30pm, 4 hours after the original schedule l, but all too given the weather. Now the fun begins For the next 5 hours we sat on the plane, on the runway. With no updates or information we all just sat waiting. The airline staff would not serve us as much as a bottle of water. A gentleman behind me asked for some nuts several hours into the wait, told that everything was closed up. The airline staff, although being paid of course, were off duty as far as serving the customers! They did absolutely nothing for the customers, not even in Business class where we pay excessive rates, could we get a bottle of water during a 5 hour sit on the runway! A few days later Now December 27th, I am again on Air Canada flight in business class, Toronto to Doha to begin my journey back to Thailand. I have a 3 hour layover in Doha to connect to Bangkok. The airport (Terminal 3 Predominantly Air Canada) in complete complete chaos! Cannot even get to your boarding gates. Anyhow I do finally fight my way through the Air Canada customer crowds to get to my plane. As I sit in my seat, I receive a 35 minute delay notification from Air Canada. A while later I receive another 30 minute delay notice followed by a 15 and a 25. This goes on for 3 hours! Now I know my connection in Doha is As good as a gone. After take off I approach the In Charge to ask what happens now with me missing my connection l. I am advised to contact customer support after I arrive in Doha. Does anyone realize how long you wait to contact Air Canada customer support? Hours and hours if at all during their current spiral into Chaos! So bottom line, I am shot out of luck! Had to purchase another ticket! Sat in Doha airport sleeping on a bench for half day and Air Canada takes NO OWNERSHIP! And my final point to the readers, this 3 hour delay was due to shortage of baggage staff! This is the update the In Charge shared with me! They don’t have enough staff! Therefore they cannot get the planes loaded with your baggage on schedule! Have a look at the fields of baggage all over Pearson! It’s out of control! Don’t take the very high risk of flying with Air Canada You will be sorry you did;"""Air Canada is out of control""";"
1
";no;0
Not Verified | We landed in Edmonton with no check-in luggage. Should have carried it on. Their baggage claim at the airport was over a 3-hour wait to speak with an agent. Way too long to speak with an agent for 5 minutes. Not sure if and when we'll see our luggage again.;"""3-hour wait to speak with an agent""";"
2
";no;0
"✅ Trip Verified | Stay away from Air Canada if you can! This company has been dropping the quality of its service over the years. And every year it seems to get worse! The customer support line is horrible and you have to stay hours on the phone to get a hold of somebody. Good luck if you're late to a connecting flight or lost your luggage in a foreign country with Air Canada. You're pretty much on your own! Let's not forget about the incredibly complicated system to report a problem or request a refund after the fact. I feel that they do this on purpose to make it complicated so you give up on the refund. In addition, Air Canada is doing everything it can to take away your money. Until recently, you could take two 32 kg bags to countries with long routes, now it's a 23 kg bag and an absurd price to carry an additional bag. Air Canada does not care about you. I've had multiple experiences where my flight got delayed, they took 1.5 to 3 hours to pick up the phone when I needed it the most, left me stranded in foreign countries, cancelled the flight minutes before it should have left, not allowed me to board because of a simple name mistake that they took long to fix, deflecting ownership when tickets got purchased from other reputable websites, lack of seat or cabinet space due to overbooking, insane delays while leaving the Toronto airport, lack of communication between employees, and lack of of flight availability in connections. Do I need to go on? Do we all get the point? It's a shame for a company of this size and past reputation to get to such low standards. I've been traveling since I was a kid and I've always liked Air Canada. I always felt like I was ""at home"" when traveling with Air Canada. Nowadays, just remembering the name makes me angry because of the negative things the company did to me. Shame on Air Canada for firing thousands of their staff. This is one of the reasons why they are struggling to keep up with the customer needs. This goes to show how the leadership team at Air Canada are unprepared for the job and don't care about their customers or the company reputation. All they care about is their big fat bonuses at the end of the year. I really hate writing reviews but I felt an obligation to do so given the horrible service and after what the bad service they provided to me. Again, stay away from Air Canada if you can.";"""every year it seems to get worse!""";"
1
";no;0
Not Verified | I have been stuck inside of Vancouver for three and a half days since December 24th of 2022 with no luggage. From the beginning I have been traveling with my family to visit my sister, brother-in-law, nephew and new-born niece. I have not been able to get in contact with my baggage since I have arrived, along with my family as well. However it is December 27th now and I have been able to receive all of our luggage. They have been left unattended outside as we got our bags back soaked from the rain and cold from the snow. Air Canada has been a horrible experience the entire journey through delayed and cancelled flights to losing hundreds of thousands of bags. Only a handful of the staff in baggage claim in the yellow vests were a major help in us retrieving the rest of our bags for a happy holiday vacation. This comment is solely appreciation towards them.;"""staff in baggage claim were a major help""";"
10
";no;2
✅ Trip Verified | Air Canada is really struggling to be bearable. Upon landing at Pearson, it was announced overhead 3 times with apologies that my Tokyo Narita flight had moved to another carousel (quite far away). All passengers migrated to new carousel according to announcement. Ultimately no luggage arrived and had been delivered to the previous original carousel (without announcement). The bags had been removed by airport staff and set aside (with hundreds of others). The passengers became irate at the baggage men. Baggage men instructed passengers that this is not them but rather it’s always Air Canada who is incompetent. The staff on this flight had terrible attitude and looked like they hated their jobs and lives. Always avoid Air Canada whenever possible. If they were not a federal government backed (near) monopoly they would never survive in the real world. Canadians need to allow Air Canada to fail without bailout so a new competitive travel market can replace it;"""staff on this flight had terrible attitude""";"
2
";no;0
Not Verified | I booked a flight for my parents to go from Cleveland to Montreal to celebrate Christmas, their flight was supposed to be on Friday December 23rd afternoon, initially there route was Cleveland - Washington DC - Montreal, due to the storm the first flight was switched to connect in Toronto instead of DC, then the Toronto flight got canceled, the airline did not offer to reschedule and the kept Toronto - Montreal flight, the photo I shared is how long I have been waiting on the line to speak an agent, and it is still counting. They indicate my waiting to be 35-52 minutes;"""did not offer to reschedule""";"
1
";no;0
✅ Trip Verified |  Does Air Canada have a plan for bad weather? Obviously their plan is no information for customers, low staffing, can't reach them on the phone, completely disorganized, just dump people in the airport with no assistance. When I checked in to my flight from Frankfurt, the automated system checked me into my current flight and the next flight that was scheduled to Indianapolis. Indianapolis was canceled, but I was not checked out of the flight. Since I was not off-boarded the replacement flight is there but I can't check in because I was not off-boarded from the original flight. Sadly the check-in crew at the airport can't figure this out and tell me I have to speak with reservations. Reservations are over the phone only and they are not answering the phone. 24 hour later, I finally spoke to reservations and they informed me only check-in at the airport can off-board me from the original flight, they can only get me a rescheduled flight after check-in off-boards me from the original flight. The only way to speak to check-in is to stand in the line with people checking their baggage, so you stand in line for an hour or more. Then check-in says I'm off-boarded, reservations says I'm not. And they don't talk to each other. So I have to wait in the at bag check line for the 3rd time to tell them I am not off boarded. Finally get it straightened out, start checking into flight and it gets canceled. This was the first of 4 different flights to get scheduled and canceled. My daughter finally drove 10 hours to Toronto, Canada to pick me up. I did not know and Air Canada did not tell me that I needed a reference # from baggage at the airport. I was escorted 3 times into the international carousel area looking for my bag, someone could have mentioned this? Since I do not have this # I cannot put in a request for lost baggage on-line. And of course the customer support line for lost baggage is not taking calls. I understand this was weather related, but with some planning and an all hands on deck mentality, this could have been a tolerable experience for customers instead of a nightmare.;"""their plan is no information for customers""";"
1
";no;0
✅ Trip Verified |  I am very disappointed with my experience with Air Canada. I had a flight booked for 5am on Boxing Day from Halifax to Toronto with a planned layover before heading to Vancouver. My flight was cancelled the night before due to a stated lack of crew members. I was told via text that Air Canada would be contacting me with alternative routes shortly - this never happened. Not only did Air Canada not contact me with alternate routes, but they did not make it clear at all that the only way to get rescheduled was to call in to their call center - which at the time of the cancellation was so busy that they would not even put me on hold. I woke up at 6am the next morning and headed to the airport myself to speak to Air Canada staff, where I was told to call their customer service line as they could do nothing about bookings. After multiple call attempts I was put through to an agent - who told me that there had been a flight from Ottawa to Vancouver - but that I had been too late. Meaning Air Canada could have made the arrangements to save my flight and did not. Air Canada then gave me a flight that would land in Vancouver three days later than expected, stating it was the earliest flight. I just called again to try and rebook and was on hold for over an hour. When the music stopped - there was a blank pause and I was hung up on. I have never had a worse experience with a business in my life.  This is an example of terrible customer service, unclear communication, and disorganization.;"""terrible customer service""";"
2
";no;0
✅ Trip Verified |  left Delhi on Dec 22,2022. When I land in Toronto I learned my 9am connected flight to Vancouve is canceled. After 17hrs at Toronto finally my flight depart at 11pm. The staff behaviour at airport is terrible. When we arrived at Vancouver after 35 min waiting for luggage they said no luggage go home and file on line. After 3 days no news on luggage. I am holding the line today from last 3 hrs to get any update. Won’t recommend any body to travel by air Canada.;"""After 3 days no news on luggage""";"
1
";no;0
✅ Trip Verified |  We began our journey with Air Canada on the Wednesday before Christmas. My boyfriend and I had planned to fly into Montreal as it is one of the closest airports to my childhood home. We wanted to have a nice dinner and do some sightseeing in Montreal before heading continuing our journey home for the holidays. We were scheduled to land in Montreal on that Wednesday night around 6:30 PM EST. We were delayed 3 different times, now making our departure from Tampa around 8 PM EST. During the boarding process Air Canada’s computer software needed to be restated and all passports had to be manually typed into their system. Because boarding took so long, we were now not leaving until about 8:45 PM EST. As my boyfriend and I were sitting in our seats waiting to taxi out to the runway, the captain came on and told the plane “The wing has been damaged. We are not sure if we will be able to fly or if it can be fixed. Well let you know as soon as possible”. We waited at the gate, with little to no communication from the airline crew for over 2 1/2 hours. At one point I walked back to use the airplane restroom and one of the stewardesses was laying down across the empty row of seats trying to sleep. We finally left Tampa after 11 PM EST and arrived in Montreal after 3 AM EST. We were scheduled to fly out of Montreal back to Tampa on the 26th of December. Christmas morning I received the email from Air Canada informing me it was time to check into our flight home. When I put in the reference number the email provided me, I kept getting a message that said “Sorry we are unable to process your request at this time”. I knew something was wrong since the tickets in my Air Canada app were now missing. We both called Air Canada and waited on the phone for over 4+ hours before speaking to a person. Air Canada informed us that our trip was canceled by them because we had “no showed” for our initial flight to Montreal. I have two claim numbers for the initial flight to Montreal for reimbursement for being delayed 9+ hours, and I have receipts from the food that we bought on the flight there. Our passports were scanned 3 separate times by Air Canada personnel. When we said that this incident caused by Air Canadas personnel was a huge breach of Canadas National security, they simply agreed as if it was not a big deal. You can’t let people on a plane without knowing who they are! Air Canada told us it was our fault that we had missed the flight, even though we have proof we were on the flight. They informed us that they would not be looking at the information to prove we were on the initial flight and that they would not be helping us get home to Tampa. We were on our own. They would not help pay for meals, food, or travel that would be necessary over the next couple of days due to their lack of accountability. We spent our entire Christmas Day on the phone with Air Canada to be told, we’re screwing you over and we’re not going to do anything about it or help you at all. Merry Christmas to everyone except Air Canada.;"""not going to do anything about it or help you""";"
1
";no;0
